,municipio,CD_MUN,CD_MUN_
0,Abadia de Goiás,5200050,520005
1,Abadia dos Dourados,3100104,310010
2,Abadiânia,5200100,520010
3,Abaetetuba,1500107,150010
4,Abaeté,3100203,310020
5,Abaiara,2300101,230010
6,Abaré,2900207,290020
7,Abatiá,4100103,410010
8,Abaíra,2900108,290010
9,Abdon Batista,4200051,420005
10,Abel Figueiredo,1500131,150013
11,Abelardo Luz,4200101,420010
12,Abre Campo,3100302,310030
13,Abreu e Lima,2600054,260005
14,Abreulândia,1700251,170025
15,Acaiaca,3100401,310040
16,Acajutiba,2900306,290030
17,Acarape,2300150,230015
18,Acaraú,2300200,230020
19,Acari,2400109,240010
20,Acará,1500206,150020
21,Acauã,2200053,220005
22,Aceguá,4300034,430003
23,Acopiara,2300309,230030
24,Acorizal,5100102,510010
25,Acrelândia,1200013,120001
26,Acreúna,5200134,520013
27,Adamantina,3500105,350010
28,Adelândia,5200159,520015
29,Adolfo,3500204,350020
30,Adrianópolis,4100202,410020
31,Adustina,2900355,290035
32,Afogados da Ingazeira,2600104,260010
33,Afonso Bezerra,2400307,240030
34,Afonso Cláudio,3200102,320010
35,Afonso Cunha,2100105,210010
36,Afrânio,2600203,260020
37,Afuá,1500305,150030
38,Agrestina,2600302,260030
39,Agricolândia,2200103,220010
40,Agrolândia,4200200,420020
41,Agronômica,4200309,420030
42,Aguanil,3100807,310080
43,Aguaí,3500303,350030
44,Agudo,4300109,430010
45,Agudos,3500709,350070
46,Agudos do Sul,4100301,410030
47,Aguiar,2500205,250020
48,Aguiarnópolis,1700301,170030
49,Aimorés,3101102,310110
50,Aiquara,2900603,290060
51,Aiuaba,2300408,230040
52,Aiuruoca,3101201,310120
53,Ajuricaba,4300208,430020
54,Alagoa,3101300,310130
55,Alagoa Grande,2500304,250030
56,Alagoa Nova,2500403,250040
57,Alagoinha,2500502,250050
58,Alagoinha,2600609,260060
59,Alagoinha do Piauí,2200251,220025
60,Alagoinhas,2900702,290070
61,Alambari,3500758,350075
62,Albertina,3101409,310140
63,Alcantil,2500536,250053
64,Alcinópolis,5000252,500025
65,Alcobaça,2900801,290080
66,Alcântara,2100204,210020
67,Alcântaras,2300507,230050
68,Aldeias Altas,2100303,210030
69,Alecrim,4300307,430030
70,Alegre,3200201,320020
71,Alegrete,4300406,430040
72,Alegrete do Piauí,2200277,220027
73,Alegria,4300455,430045
74,Alenquer,1500404,150040
75,Alexandria,2400505,240050
76,Alexânia,5200308,520030
77,Alfenas,3101607,310160
78,Alfredo Chaves,3200300,320030
79,Alfredo Marcondes,3500808,350080
80,Alfredo Vasconcelos,3101631,310163
81,Alfredo Wagner,4200705,420070
82,Algodão de Jandaíra,2500577,250057
83,Alhandra,2500601,250060
84,Aliança,2600708,260070
85,Aliança do Tocantins,1700350,170035
86,Almadina,2900900,290090
87,Almas,1700400,170040
88,Almeirim,1500503,150050
89,Almenara,3101706,310170
90,Almino Afonso,2400604,240060
91,Almirante Tamandaré,4100400,410040
92,Almirante Tamandaré do Sul,4300471,430047
93,Aloândia,5200506,520050
94,Alpercata,3101805,310180
95,Alpestre,4300505,430050
96,Alpinópolis,3101904,310190
97,Alta Floresta,5100250,510025
98,Alta Floresta D'Oeste,1100015,110001
99,Altair,3500907,350090
100,Altamira,1500602,150060
101,Altamira do Maranhão,2100402,210040
102,Altamira do Paraná,4100459,410045
103,Altaneira,2300606,230060
104,Alterosa,3102001,310200
105,Altinho,2600807,260080
106,Altinópolis,3501004,350100
107,Alto Alegre,1400050,140005
108,Alto Alegre,3501103,350110
109,Alto Alegre,4300554,430055
110,Alto Alegre do Maranhão,2100436,210043
111,Alto Alegre do Pindaré,2100477,210047
112,Alto Alegre dos Parecis,1100379,110037
113,Alto Araguaia,5100300,510030
114,Alto Bela Vista,4200754,420075
115,Alto Boa Vista,5100359,510035
116,Alto Caparaó,3102050,310205
117,Alto Feliz,4300570,430057
118,Alto Garças,5100409,510040
119,Alto Horizonte,5200555,520055
120,Alto Jequitibá,3153509,315350
121,Alto Longá,2200301,220030
122,Alto Paraguai,5100508,510050
123,Alto Paraná,4100608,410060
124,Alto Paraíso,1100403,110040
125,Alto Paraíso,4128625,412862
126,Alto Paraíso de Goiás,5200605,520060
127,Alto Parnaíba,2100501,210050
128,Alto Piquiri,4100707,410070
129,Alto Rio Doce,3102100,310210
130,Alto Rio Novo,3200359,320035
131,Alto Santo,2300705,230070
132,Alto Taquari,5100607,510060
133,Alto do Rodrigues,2400703,240070
134,Altos,2200400,220040
135,Altônia,4100509,410050
136,Alumínio,3501152,350115
137,Alvarenga,3102209,310220
138,Alvarães,1300029,130002
139,Alvinlândia,3501509,350150
140,Alvinópolis,3102308,310230
141,Alvorada,1700707,170070
142,Alvorada,4300604,430060
143,Alvorada D'Oeste,1100346,110034
144,Alvorada de Minas,3102407,310240
