,municipio,pupulacao
0,Abadia de Goiás,8773.0
1,Abadia dos Dourados,6989.0
2,Abadiânia,20042.0
3,Abaetetuba,157698.0
4,Abaeté,23237.0
5,Abaiara,11737.0
6,Abaré,20086.0
7,Abatiá,7457.0
8,Abaíra,8739.0
9,Abdon Batista,2563.0
10,Abel Figueiredo,7434.0
11,Abelardo Luz,17904.0
12,Abre Campo,13454.0
13,Abreu e Lima,99990.0
14,Abreulândia,2579.0
15,Acaiaca,3994.0
16,Acajutiba,15159.0
17,Acarape,14929.0
18,Acaraú,62641.0
19,Acari,11136.0
20,Acará,55591.0
21,Acauã,7084.0
22,Aceguá,4901.0
23,Acopiara,54270.0
24,Acorizal,5399.0
25,Acrelândia,15256.0
26,Acreúna,22366.0
27,Adamantina,35068.0
28,Adelândia,2516.0
29,Adolfo,3562.0
30,Adrianópolis,5919.0
31,Adustina,17040.0
32,Afogados da Ingazeira,37259.0
33,Afonso Bezerra,11035.0
34,Afonso Cláudio,30586.0
35,Afonso Cunha,6524.0
36,Afrânio,19635.0
37,Afuá,39218.0
38,Agrestina,24885.0
39,Agricolândia,5139.0
40,Agrolândia,10864.0
41,Agronômica,5448.0
42,Aguanil,4486.0
43,Aguaí,36305.0
44,Agudo,16461.0
45,Agudos,37214.0
46,Agudos do Sul,9371.0
47,Aguiar,5640.0
48,Aguiarnópolis,6733.0
49,Aimorés,25167.0
50,Aiquara,4446.0
51,Aiuaba,17399.0
52,Aiuruoca,6003.0
53,Ajuricaba,7024.0
54,Alagoa,2674.0
55,Alagoa Grande,28496.0
56,Alagoa Nova,20849.0
57,Alagoinha,14636.0
58,Alagoinha do Piauí,7651.0
59,Alagoinhas,151596.0
60,Alambari,6025.0
61,Albertina,3007.0
62,Alcantil,5492.0
63,Alcinópolis,5343.0
64,Alcobaça,22470.0
65,Alcântara,22097.0
66,Alcântaras,11714.0
67,Aldeias Altas,26532.0
68,Alecrim,5950.0
69,Alegre,30084.0
70,Alegrete,73589.0
71,Alegrete do Piauí,4915.0
72,Alegria,3464.0
73,Alenquer,56789.0
74,Alexandria,13577.0
75,Alexânia,27653.0
76,Alfenas,79996.0
77,Alfredo Chaves,14601.0
78,Alfredo Marcondes,4166.0
79,Alfredo Vasconcelos,6907.0
80,Alfredo Wagner,10036.0
81,Algodão de Jandaíra,2567.0
82,Alhandra,19588.0
83,Aliança,38386.0
84,Aliança do Tocantins,5390.0
85,Almadina,5464.0
86,Almas,7055.0
87,Almeirim,34109.0
88,Almenara,41896.0
89,Almino Afonso,4735.0
90,Almirante Tamandaré,118623.0
91,Almirante Tamandaré do Sul,1964.0
92,Aloândia,1995.0
93,Alpercata,7424.0
94,Alpestre,6258.0
95,Alpinópolis,19853.0
96,Alta Floresta,51782.0
97,Alta Floresta D'Oeste,22945.0
98,Altair,4160.0
99,Altamira,114594.0
100,Altamira do Maranhão,8128.0
101,Altamira do Paraná,1942.0
102,Altaneira,7586.0
103,Alterosa,14466.0
104,Altinho,22972.0
105,Altinópolis,16184.0
106,Alto Alegre,15510.0
107,Alto Alegre do Maranhão,27053.0
108,Alto Alegre do Pindaré,31919.0
109,Alto Alegre dos Parecis,13241.0
110,Alto Araguaia,19044.0
111,Alto Bela Vista,1937.0
112,Alto Boa Vista,6822.0
113,Alto Caparaó,5847.0
114,Alto Feliz,3028.0
115,Alto Garças,12030.0
116,Alto Horizonte,6414.0
117,Alto Jequitibá,8317.0
118,Alto Longá,14304.0
119,Alto Paraguai,11356.0
120,Alto Paraná,14770.0
121,Alto Paraíso,21428.0
122,Alto Paraíso de Goiás,7624.0
123,Alto Parnaíba,11190.0
124,Alto Piquiri,9836.0
125,Alto Rio Doce,11000.0
126,Alto Rio Novo,7836.0
127,Alto Santo,17146.0
128,Alto Taquari,10847.0
129,Alto do Rodrigues,14529.0
130,Altos,40524.0
131,Altônia,22056.0
132,Alumínio,18628.0
133,Alvarenga,3907.0
134,Alvarães,16041.0
135,Alvinlândia,3222.0
136,Alvinópolis,15203.0
137,Alvorada,210305.0
138,Alvorada D'Oeste,14411.0
139,Alvorada de Minas,3606.0
140,Alvorada do Gurguéia,5419.0
141,Alvorada do Norte,8660.0
142,Alvorada do Sul,11406.0
143,Além Paraíba,35362.0
144,Amajari,12796.0
145,Amambai,39396.0
146,Amaporã,6257.0
147,Amapá,9109.0
148,Amapá do Maranhão,6962.0
149,Amaraji,22829.0
150,Amaral Ferrador,7031.0
151,Amaralina,3812.0
152,Amarante,17598.0
153,Amarante do Maranhão,41435.0
154,Amargosa,37241.0
155,Amaturá,11536.0
156,Americana,239597.0
157,Americano do Brasil,6111.0
158,Ametista do Sul,7409.0
159,Amontada,43452.0
160,Amorinópolis,3126.0
161,Amparo,72195.0
162,Amparo de São Francisco,2374.0
163,Amparo do Serra,4713.0
164,Ampére,19152.0
165,Amélia Rodrigues,25102.0
166,América Dourada,16094.0
167,Américo Brasiliense,40504.0
168,Américo de Campos,5969.0
169,Anadia,17545.0
170,Anagé,22005.0
171,Anahy,2801.0
172,Anajatuba,26803.0
173,Anajás,29277.0
174,Analândia,4995.0
175,Anamã,13614.0
176,Ananindeua,530598.0
177,Ananás,9549.0
178,Anapu,27890.0
179,Anapurus,15732.0
180,Anastácio,25135.0
181,Anaurilândia,9035.0
182,Anchieta,29263.0
183,Andaraí,13143.0
184,Andirá,20031.0
185,Andorinha,14595.0
186,Andradas,41077.0
187,Andradina,57157.0
188,Andrelândia,12224.0
189,André da Rocha,1333.0
190,Angatuba,25228.0
191,Angelim,11150.0
192,Angelina,4801.0
193,Angelândia,8520.0
194,Angical,13977.0
195,Angical do Piauí,6788.0
196,Angico,3433.0
197,Angicos,11714.0
198,Angra dos Reis,203785.0
199,Anguera,11221.0
200,Angélica,10780.0
201,Anhanguera,1149.0
202,Anhembi,6724.0
203,Anhumas,4115.0
204,Anicuns,21850.0
205,Anita Garibaldi,7133.0
206,Anitápolis,3232.0
207,Anori,21010.0
208,Anta Gorda,5981.0
209,Antas,19291.0
210,Antonina,18980.0
211,Antonina do Norte,7353.0
212,Antônio Almeida,3164.0
213,Antônio Cardoso,11683.0
214,Antônio Carlos,11445.0
215,Antônio Dias,9318.0
216,Antônio Gonçalves,11798.0
217,Antônio João,8956.0
218,Antônio Martins,7145.0
219,Antônio Olinto,7434.0
220,Antônio Prado,13050.0
221,Antônio Prado de Minas,1598.0
222,Anápolis,386923.0
223,Anísio de Abreu,9880.0
224,Aparecida,36157.0
225,Aparecida d'Oeste,4196.0
226,Aparecida de Goiânia,578179.0
227,Aparecida do Rio Doce,2474.0
228,Aparecida do Rio Negro,4795.0
229,Aparecida do Taboado,25745.0
230,Aperibé,11759.0
231,Apiacá,7567.0
232,Apiacás,10133.0
233,Apiaí,24374.0
